"año";"residentes_en_porcentaje";"no_residentes_en_porcentaje"
"2008";"59.26";"40.74"
"2009";"67.31";"32.69"
"2010";"68.88";"31.12"
"2011";"67.66";"32.34"
"2012";"70.69";"29.31"
"2013";"71.9";"28.1"
"2014";"69.61";"30.39"
"2015";"71.7";"28.3"
"2016";"70.61";"29.39"
"2017";"71.79";"28.21"
"2018";"70.05";"29.95"
"2019";"66.04";"33.96"
"2020";"70.16";"29.84"
"2021";"98.04";"1.96"
"2022";"84.19";"15.81"
"2023";"69.03";"30.97"
"2024";"62.34";"37.65"
"2025";"70.51";"29.48"
