TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,555587113,555587113,PA,Laguna Negra,Laguna Negra,Reserva Provincial de Uso Múltiple,Multiple Use Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,0,13.4,13.3818483205678,Not Applicable,0,Designated,2003,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587114,555587114,PA,Rio Valdez,Rio Valdez,Reserva Provincial de Uso Múltiple,Multiple Use Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,0,32.77,27.4275414031415,Not Applicable,0,Designated,2003,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587115,555587115,PA,Abra del Acay,Abra del Acay,Monumento Natural,Nature Monument,National,III,Not Applicable,Terrestrial,0,0,1200.6,381.809098580905,Not Applicable,0,Designated,1995,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587117,555587117,PA,El Gato y Lomas Limpias,El Gato y Lomas Limpias,Reserva de Uso Múltiple,Multiple Use Reserve,National,VI,Not Applicable,Terrestrial,0,0,680,997.754848840678,Not Applicable,0,Designated,2006,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587118,555587118,PA,Escuela Rural Juan B. Alberdi,Escuela Rural Juan B. Alberdi,Reserva de Uso Múltiple,Multiple Use Reserve,National,VI,Not Applicable,Terrestrial,0,0,0.2,0.149925883271223,Not Applicable,0,Designated,1992,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587119,555587119,PA,Escuela Rural Enrique Berduc,Escuela Rural Enrique Berduc,Reserva de Uso Múltiple,Multiple Use Reserve,National,VI,Not Applicable,Terrestrial,0,0,5.94,5.63945875685928,Not Applicable,0,Designated,1997,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587121,555587121,PA,Estancia Ralicó,Estancia Ralicó,Reserva Forestal Natural,Nature Forest Reserve,National,VI,Not Applicable,Terrestrial,0,0,67,152.479309695916,Not Applicable,0,Designated,2004,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587122,555587122,PA,Chasico,Chasico,Reserva Natural de Objetos Definidos,Nature Reserve of Define Objects,National,IV,Not Applicable,Terrestrial,0,0,78.07,78.1289296559127,Not Applicable,0,Designated,1999,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587123,555587123,PA,Bañados del Río Dulce y Laguna de Mar Chiquita,Bañados del Río Dulce y Laguna de Mar Chiquita,Reserva Provincial de Uso Múltiple,Multiple Use Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,0,10600,10486.8165438346,Not Applicable,0,Designated,1994,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587124,555587124,PA,Pampa de Achala,Pampa de Achala,Reserva Hídrica Provincial,Provincial Water Reserve,National,VI,Not Applicable,Terrestrial,0,0,1460,1543.71640525225,Not Applicable,0,Designated,1999,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587125,555587125,PA,Salinas Grandes,Salinas Grandes,Reserva Provincial de Uso Múltiple,Multiple Use Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,0,2000,2217.33554347522,Not Applicable,0,Designated,2003,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587126,555587126,PA,Bañado la Estrella,Bañado la Estrella,Reserva Natural Provincial,Provincial Nature Reserve,National,Not Reported,Not Applicable,Terrestrial,0,0,3816,3728.13334711755,Not Applicable,0,Designated,2005,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587127,555587127,PA,Bosques Protectores,Bosques Petrificados,Reserva Pública,Reserva Pública,National,VI,Not Applicable,Terrestrial,0,0,18.43,18.3989732144464,Not Applicable,0,Designated,1967,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587128,555587128,PA,Copo,Copo,Reserva Provincial de Uso Múltiple,Multiple Use Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,0,697.06,773.833260160393,Not Applicable,0,Designated,2002,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587129,555587129,PA,Fuerte Esperanza,Fuerte Esperanza,Parque Provincial,Provincial Park,National,II,Not Applicable,Terrestrial,0,0,282.2,104.911049620566,Not Applicable,0,Designated,2000,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587130,555587130,PA,Cuchillo-Cura,Cuchillo-Cura,Parque Provincial,Provincial Park,National,II,Not Applicable,Terrestrial,0,0,3.86,3.86066598330824,Not Applicable,0,Designated,2003,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587131,555587131,PA,Boca del Chimehuin,Boca del Chimehuin,Parque Provincial,Provincial Park,National,II,Not Applicable,Terrestrial,0,0,15,18.281737069792,Not Applicable,0,Designated,2000,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587132,555587132,PA,Piedra Parada,Piedra Parada,Reserva Natural Turística,Tourist Nature Reserve,National,VI,Not Applicable,Terrestrial,0,0,1.32,1.30959409200777,Not Applicable,0,Designated,2006,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587133,555587133,PA,Cueva de las Manos,Cueva de las Manos,Patrimonio Histórico Cultural Natural,Nature Historical and Cultural Heritage Site,National,III,Not Applicable,Terrestrial,0,0,120,101.669596440602,Not Applicable,0,Designated,1999,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587134,555587134,PA,Tucu-Tucu,Tucu-Tucu,Reserva Provincial,Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,0,1820.17,1826.32187868981,Not Applicable,0,Designated,2006,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587135,555587135,PA,Meseta Lago Strobel,Meseta Lago Strobel,Reserva con fines de utilidad pública,Reserve with purposes of public utility,National,VI,Not Applicable,Terrestrial,0,0,250,121.26816494322,Not Applicable,0,Designated,2003,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587136,555587136,PA,Pint Rupestres Rio Chalia o Shehuen,Pint Rupestres Rio Chalia o Shehuen,Reserva Provincial,Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,0,123.3,132.457124267895,Not Applicable,0,Designated,2007,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
